symbol,side,entry,exit,qty,pnl_gross,fees,pnl_net,entry_time,exit_time,reason
HBAR_USDT,SHORT,0.07131,0.07429392857142857,294.48885149347916,-0.8787336979385769,0.0147,-0.893433697938577,2022-06-12 02:00:00,2022-06-12 15:00:00,SL_HIT
ADA_USDT,SHORT,0.4896,0.468,42.8921568627451,0.926470588235292,0.0147,0.911770588235292,2022-06-12 23:00:00,2022-06-13 03:00:00,SL_HIT
HBAR_USDT,SHORT,0.06942,0.06258,302.5064822817632,2.06914433880726,0.014700000000000003,2.05444433880726,2022-06-12 23:00:00,2022-06-13 09:00:00,SL_HIT
DOGE_USDT,SHORT,0.06116,0.054944,343.3616742969261,2.134336167429692,0.0147,2.119636167429692,2022-06-13 00:00:00,2022-06-13 09:00:00,SL_HIT
LTC_USDT,SHORT,47.88,43.007999999999996,0.43859649122807015,2.136842105263161,0.0147,2.122142105263161,2022-06-12 23:00:00,2022-06-13 15:00:00,SL_HIT
LTC_USDT,SHORT,40.56,42.89035714285714,0.5177514792899408,-1.2065458579881636,0.0147,-1.2212458579881635,2022-06-14 01:00:00,2022-06-14 02:00:00,SL_HIT
DOGE_USDT,SHORT,0.05029,0.05325785714285715,417.57804732551205,-1.2393119904553607,0.0147,-1.2540119904553606,2022-06-14 01:00:00,2022-06-14 03:00:00,SL_HIT
ADA_USDT,LONG,0.4994,0.51348,42.050460552663196,0.5920704845814994,0.0147,0.5773704845814993,2022-06-14 06:00:00,2022-06-14 08:00:00,SL_HIT
DOGE_USDT,LONG,0.0578,0.054486071428571425,363.3217993079585,-1.2040224913494812,0.0147,-1.2187224913494812,2022-06-14 05:00:00,2022-06-14 21:00:00,SL_HIT
LTC_USDT,LONG,46.54,44.768928571428575,0.45122475290073055,-0.799151267726685,0.0147,-0.813851267726685,2022-06-15 01:00:00,2022-06-15 03:00:00,SL_HIT
DOGE_USDT,SHORT,0.0525,0.052305,400.0,0.07800000000000029,0.0147,0.06330000000000029,2022-06-15 04:00:00,2022-06-15 06:00:00,SL_HIT
HBAR_USDT,SHORT,0.06296,0.061528,333.54510800508257,0.4776365946632791,0.0147,0.46293659466327913,2022-06-15 04:00:00,2022-06-15 06:00:00,SL_HIT
LTC_USDT,SHORT,43.26,42.164,0.4854368932038835,0.5320388349514547,0.0147,0.5173388349514546,2022-06-15 05:00:00,2022-06-15 10:00:00,SL_HIT
DOGE_USDT,SHORT,0.05063,0.05298714285714286,414.77384949634603,-0.9776812166699581,0.0147,-0.9923812166699582,2022-06-15 08:00:00,2022-06-15 11:00:00,SL_HIT
DOGE_USDT,LONG,0.05758,0.0583,364.70996873914555,0.26259117749218425,0.0147,0.24789117749218426,2022-06-15 18:00:00,2022-06-15 20:00:00,SL_HIT
ADA_USDT,LONG,0.491,0.5257999999999999,42.76985743380855,1.488391038696535,0.0147,1.4736910386965352,2022-06-15 17:00:00,2022-06-16 01:00:00,SL_HIT
LTC_USDT,LONG,46.88,49.88,0.44795221843003413,1.3438566552901023,0.0147,1.3291566552901024,2022-06-15 18:00:00,2022-06-16 03:00:00,SL_HIT
DOGE_USDT,SHORT,0.05492,0.0576125,382.3743627093955,-1.0295429715950475,0.0147,-1.0442429715950474,2022-06-16 22:00:00,2022-06-17 10:00:00,SL_HIT
LTC_USDT,LONG,47.39,47.642,0.4431314623338257,0.11166912850812516,0.0147,0.09696912850812515,2022-06-17 07:00:00,2022-06-17 22:00:00,SL_HIT
ADA_USDT,SHORT,0.4666,0.4586,45.00642948992713,0.36005143591941735,0.0147,0.34535143591941736,2022-06-18 06:00:00,2022-06-18 09:00:00,SL_HIT
DOGE_USDT,SHORT,0.05428,0.052736,386.8828297715549,0.5973470891672822,0.0147,0.5826470891672821,2022-06-18 06:00:00,2022-06-18 09:00:00,SL_HIT
