timestamp,y_long,y_short,weights
1970-01-01 00:28:04.692000,0,1,2.0
1970-01-01 00:28:04.695600,0,1,2.0
1970-01-01 00:28:04.699200,0,1,2.0
1970-01-01 00:28:04.702800,0,1,2.0
1970-01-01 00:28:04.706400,0,1,2.0
1970-01-01 00:28:04.710000,0,1,2.0
1970-01-01 00:28:04.724400,1,0,2.0
1970-01-01 00:28:04.728000,1,0,2.0
1970-01-01 00:28:04.731600,1,0,2.0
1970-01-01 00:28:04.735200,1,0,2.0
1970-01-01 00:28:04.738800,1,0,2.0
1970-01-01 00:28:04.742400,1,0,2.0
1970-01-01 00:28:04.796400,1,0,2.0
1970-01-01 00:28:04.800000,1,0,2.0
1970-01-01 00:28:04.875600,0,1,2.0
1970-01-01 00:28:04.879200,0,1,2.0
1970-01-01 00:28:04.882800,0,1,2.0
1970-01-01 00:28:04.886400,0,1,2.0
1970-01-01 00:28:04.890000,0,1,2.0
1970-01-01 00:28:04.893600,0,1,2.0
1970-01-01 00:28:04.911600,0,1,2.0
1970-01-01 00:28:04.915200,0,1,2.0
1970-01-01 00:28:04.918800,0,1,2.0
1970-01-01 00:28:04.922400,0,1,2.0
1970-01-01 00:28:04.926000,0,1,2.0
1970-01-01 00:28:04.929600,0,1,2.0
1970-01-01 00:28:04.958400,0,1,2.0
1970-01-01 00:28:05.026800,1,0,2.0
1970-01-01 00:28:05.203200,1,0,2.0
1970-01-01 00:28:05.206800,1,0,2.0
1970-01-01 00:28:05.210400,1,0,2.0
1970-01-01 00:28:05.214000,1,0,2.0
1970-01-01 00:28:05.217600,1,0,2.0
1970-01-01 00:28:05.221200,1,0,2.0
1970-01-01 00:28:05.289600,1,0,2.0
1970-01-01 00:28:05.293200,1,0,2.0
1970-01-01 00:28:05.300400,1,0,2.0
1970-01-01 00:28:05.304000,1,0,2.0
1970-01-01 00:28:05.408400,0,1,2.0
1970-01-01 00:28:05.412000,0,1,2.0
1970-01-01 00:28:05.415600,0,1,2.0
1970-01-01 00:28:05.430000,1,0,2.0
1970-01-01 00:28:05.440800,0,1,2.0
1970-01-01 00:28:05.444400,0,1,2.0
1970-01-01 00:28:05.484000,0,1,2.0
1970-01-01 00:28:05.487600,0,1,2.0
1970-01-01 00:28:05.491200,0,1,2.0
1970-01-01 00:28:05.494800,0,1,2.0
1970-01-01 00:28:05.498400,0,1,2.0
1970-01-01 00:28:05.502000,0,1,2.0
1970-01-01 00:28:05.574000,0,1,2.0
1970-01-01 00:28:05.577600,0,1,2.0
1970-01-01 00:28:05.581200,0,1,2.0
1970-01-01 00:28:05.584800,1,0,2.0
1970-01-01 00:28:05.710800,1,0,2.0
1970-01-01 00:28:05.714400,1,0,2.0
1970-01-01 00:28:05.718000,1,0,2.0
1970-01-01 00:28:05.721600,1,0,2.0
1970-01-01 00:28:05.725200,1,0,2.0
1970-01-01 00:28:05.786400,1,0,2.0
1970-01-01 00:28:05.800800,0,1,2.0
1970-01-01 00:28:05.804400,0,1,2.0
1970-01-01 00:28:05.808000,0,1,2.0
1970-01-01 00:28:05.901600,0,1,2.0
1970-01-01 00:28:05.905200,0,1,2.0
1970-01-01 00:28:05.908800,0,1,2.0
1970-01-01 00:28:05.912400,0,1,2.0
1970-01-01 00:28:05.916000,0,1,2.0
1970-01-01 00:28:05.919600,0,1,2.0
1970-01-01 00:28:05.923200,0,1,2.0
1970-01-01 00:28:05.926800,0,1,2.0
1970-01-01 00:28:05.955600,0,1,2.0
1970-01-01 00:28:05.959200,0,1,2.0
1970-01-01 00:28:05.962800,0,1,2.0
1970-01-01 00:28:05.966400,0,1,2.0
1970-01-01 00:28:05.970000,0,1,2.0
1970-01-01 00:28:05.973600,0,1,2.0
1970-01-01 00:28:05.977200,0,1,2.0
1970-01-01 00:28:06.034800,1,0,2.0
1970-01-01 00:28:06.038400,1,0,2.0
1970-01-01 00:28:06.042000,1,0,2.0
1970-01-01 00:28:06.052800,1,0,2.0
1970-01-01 00:28:06.056400,1,0,2.0
1970-01-01 00:28:06.060000,1,0,2.0
1970-01-01 00:28:06.063600,1,0,2.0
1970-01-01 00:28:06.067200,1,0,2.0
1970-01-01 00:28:06.070800,1,0,2.0
1970-01-01 00:28:06.074400,0,1,2.0
1970-01-01 00:28:06.110400,0,1,2.0
1970-01-01 00:28:06.114000,0,1,2.0
1970-01-01 00:28:06.117600,0,1,2.0
1970-01-01 00:28:06.121200,0,1,2.0
1970-01-01 00:28:06.124800,0,1,2.0
1970-01-01 00:28:06.290400,1,0,2.0
1970-01-01 00:28:06.294000,1,0,2.0
1970-01-01 00:28:06.297600,1,0,2.0
1970-01-01 00:28:06.301200,1,0,2.0
1970-01-01 00:28:06.304800,1,0,2.0
1970-01-01 00:28:06.308400,1,0,2.0
1970-01-01 00:28:06.312000,0,1,2.0
1970-01-01 00:28:06.315600,0,1,2.0
1970-01-01 00:28:06.319200,0,1,2.0
